bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
Sedan,1,2020,Petrol,Comprehensive,26367,Manual,2020,20,5,Bangalore,9.41
Sedan,2,2015,Petrol,Comprehensive,76567,Automatic,2015,14,6,Bangalore,6.3
MUV,2,2013,Diesel,Comprehensive,120000,Manual,2013,12,5,Bangalore,12.75
Hatchback,2,2015,Petrol,Zero Depreciation,36459,Automatic,2015,18,4,Bangalore,5.25
SUV,1,2016,Diesel,Third Party insurance,93725,Manual,2016,23,5,Bangalore,7.5
Sedan,2,2016,Petrol,Comprehensive,115599,Automatic,2016,19,4,Bangalore,6.32
Sedan,1,2015,Petrol,Comprehensive,43469,Manual,2015,22,5,Bangalore,6.45
Sedan,4,2005,Petrol,Third Party insurance,70000,Manual,2005,13,5,Bangalore,5.0
SUV,2,2019,Diesel,Comprehensive,77000,Automatic,2019,13,8,Bangalore,67.95
SUV,1,2018,Diesel,Comprehensive,100000,Manual,2018,24,5,Bangalore,8.5
Sedan,1,2008,Petrol,Third Party insurance,72000,Manual,2008,14,5,Bangalore,2.99
Sedan,1,2013,Diesel,Comprehensive,77000,Automatic,2013,16,8,Bangalore,20.95
SUV,1,2013,Diesel,Comprehensive,87101,Automatic,2013,12,8,Bangalore,28.0
Hatchback,2,2021,Petrol,Comprehensive,40771,Manual,2021,18,6,Bangalore,9.99
Hatchback,1,2018,Petrol,Comprehensive,28000,Manual,2018,18,5,Bangalore,8.25
Hatchback,3,2008,Petrol,Comprehensive,40000,Manual,2008,18,5,Bangalore,2.5
SUV,1,2020,Petrol,Third Party insurance,26000,Automatic,2020,18,7,Bangalore,12.95
Hatchback,1,2012,Petrol,Third Party insurance,76032,Manual,2012,18,5,Bangalore,3.29
Sedan,1,2018,Petrol,Third Party insurance,113780,Manual,2018,21,5,Bangalore,6.66
Sedan,1,2019,Diesel,Zero Depreciation,24000,Automatic,2019,20,6,Bangalore,22.9
SUV,2,2020,Diesel,Third Party insurance,65812,Manual,2020,23,6,Bangalore,10.26
SUV,1,2022,Petrol,Third Party insurance,10000,Automatic,2022,17,6,Bangalore,17.0
Hatchback,1,2016,Petrol,Comprehensive,39959,Manual,2016,21,5,Bangalore,6.81
SUV,1,2022,Petrol,Third Party insurance,10000,Automatic,2022,14,6,Bangalore,16.9
Hatchback,3,2016,Petrol,Third Party insurance,65484,Manual,2016,24,5,Bangalore,3.18
Hatchback,1,2017,Petrol,Third Party insurance,49174,Manual,2017,21,5,Bangalore,6.88
SUV,1,2022,Petrol,Third Party insurance,20000,Manual,2022,20,6,Bangalore,13.0
Hatchback,1,2009,Petrol,Third Party insurance,50000,Manual,2009,20,5,Bangalore,2.65
Sedan,2,2018,Petrol,Third Party insurance,40000,Automatic,2018,22,5,Bangalore,6.45
SUV,1,2022,Petrol,Third Party insurance,30000,Automatic,2022,14,6,Bangalore,20.0
Coupe,3,2007,Petrol,Third Party insurance,50000,Automatic,2007,10,6,Bangalore,9.0
Hatchback,1,2020,Petrol,Third Party insurance,80000,Manual,2020,21,5,Bangalore,6.2
SUV,1,2022,Petrol,Third Party insurance,20000,Manual,2022,15,5,Bangalore,14.7
